"id_encuestado","pais","region","zona","edad","generacion","sexo_biologico","ingreso_anual","importante_trabajo","ocurrio_trabajo","expectativa_trabajo","sentimiento_si_no_trabajo","importante_vivienda_propia","ocurrio_vivienda_propia","expectativa_vivienda_propia","sentimiento_si_no_vivienda_propia","importante_vida_independiente","ocurrio_vida_independiente","expectativa_vida_independiente","sentimiento_si_no_vida_independiente","importante_ser_padre","ocurrio_ser_padre","expectativa_ser_padre","sentimiento_si_no_ser_padre","importante_casarse","ocurrio_casarse","expectativa_casarse","sentimiento_si_no_casarse","importante_mascota","ocurrio_mascota","expectativa_mascota","sentimiento_si_no_mascota","idx_aspiracion_global","idx_expectativa_global","idx_satisfaccion_vida","D1_seguridad_economica","D2_vivienda_independencia","D3_familia_tradicional","D4_presion_social","D5_bienestar_emocional","D6_apertura_alternativas","D7_confianza_futuro","D8_estabilidad_laboral","D9_preocupacion_financiera","D10_apoyo_red_familiar","D11_expectativa_matrimonio","D12_optimismo_personal","D13_control_sobre_futuro","D14_autonomia_estilo_vida"
23175,"India","Asia",2,44,"Millennial",1,3443,"Sí","Sí","","","Sí","No","Improbable","Triste","No","Sí","","","Sí","No","Incierto","Feliz","No","No","Incierto","Neutral","No","No","Incierto","Triste",50,0,1.75,3.15,3.83,4.21,3.85,3.63,4.8,1.64,4.3,5.84,4.4,3.7,1.9,3.22,3.84
23182,"India","Asia",2,25,"Gen Z",2,2501,"No","No","Incierto","Neutral","No","No","Probable","Triste","No","No","Incierto","Neutral","No","No","Improbable","Triste","No","Sí","","","No","Sí","","",0,NA,1.5,2.7,1.77,4.25,3.77,2.78,3.47,1.66,3.92,5.33,4.12,4.66,1.78,4.26,3.46
23183,"India","Asia",1,47,"Gen X",1,7475,"Sí","No","Incierto","Triste","Sí","No","Incierto","Triste","Sí","Sí","","","No","Sí","","","No","No","Probable","Feliz","No","No","Improbable","Neutral",50,0,1.75,3.97,3.74,4.49,4.93,4.16,4.02,3.51,3.28,3.66,4.8,4.72,3.17,2.58,3.59
23191,"Suecia","Europa",1,62,"Baby Boomer",2,77767,"No","Sí","","","Sí","No","Probable","Neutral","No","Sí","","","No","No","Probable","Feliz","No","No","Probable","Feliz","No","Sí","","",16.67,100,2.67,5.07,5.17,3.81,4.46,4.29,5.19,4.21,4.35,3.62,3.32,3.99,5.21,4.58,3.66
23194,"India","Asia",1,43,"Millennial",1,4837,"Sí","Sí","","","No","No","Probable","Neutral","No","No","Improbable","Neutral","No","No","Incierto","Feliz","No","No","Incierto","Neutral","No","No","Improbable","Feliz",16.67,NA,2.4,3.51,2.63,5.28,4.86,3.92,3.37,3.82,3.4,5.87,3.89,3.88,3.62,3.97,2.8
23196,"Suecia","Europa",1,30,"Gen Z",1,89368,"Sí","No","Incierto","Feliz","Sí","No","Incierto","Triste","Sí","No","Probable","Triste","Sí","No","Cierto","Triste","No","No","Incierto","Neutral","No","Sí","","",66.67,50,1.6,5.21,3.54,5.33,4.7,2.96,2.21,3.19,4.5,3.68,5.08,4.71,2.63,3.54,2.1
23201,"Suecia","Europa",1,52,"Gen X",2,42802,"No","Sí","","","Sí","Sí","","","Sí","No","Probable","Neutral","No","No","Incierto","Triste","No","No","Probable","Triste","Sí","No","Probable","Triste",50,100,1.25,5.08,5.57,2.94,3.53,3.97,3.93,4.82,3.5,3.23,3.69,3.97,4.67,6.36,4.47
23208,"Suecia","Europa",1,39,"Millennial",2,45290,"Sí","No","Improbable","Triste","No","No","Cierto","Triste","Sí","No","Improbable","Neutral","No","No","Improbable","Triste","No","No","Improbable","Feliz","No","No","Cierto","Feliz",33.33,0,1.83,5.36,4.58,4.21,2.12,3.38,4.26,3.03,3.75,2.83,3.8,3.8,4.3,4.22,4.76
23216,"Suecia","Europa",2,39,"Millennial",1,28828,"Sí","Sí","","","Sí","No","Improbable","Triste","No","Sí","","","No","No","Probable","Triste","No","No","Incierto","Neutral","Sí","No","Cierto","Neutral",50,50,1.5,3.1,4.56,3.27,4.34,3.83,3.57,5.02,3.79,3.44,5.62,4.41,3.49,3.35,4.1
23217,"Suecia","Europa",1,73,"Baby Boomer",1,85522,"Sí","Sí","","","Sí","Sí","","","No","Sí","","","No","No","Incierto","Neutral","Sí","No","Probable","Triste","No","Sí","","",50,100,1.5,5.8,3.71,3.1,3,5.01,4.36,4.11,6.17,4.02,3.36,3.78,4.56,6.27,4.95
23225,"Suecia","Europa",1,57,"Gen X",2,43413,"Sí","No","Probable","Triste","Sí","Sí","","","Sí","Sí","","","No","No","Probable","Feliz","No","Sí","","","No","No","Cierto","Feliz",50,100,2.33,4.11,4.45,3.59,3.67,4.14,4.83,3.91,4.55,4.05,4.88,3.93,4.95,4.39,4.52
23228,"Suecia","Europa",1,70,"Baby Boomer",2,78639,"Sí","Sí","","","Sí","No","Probable","Feliz","No","Sí","","","Sí","No","Cierto","Feliz","Sí","Sí","","","No","No","Probable","Triste",66.67,100,2.33,4.67,4.53,3.46,3.16,4.54,4.57,4.85,4.27,3.89,3.17,4.2,4.62,4.59,4.24
23248,"India","Asia",1,74,"Baby Boomer",2,4032,"Sí","No","Cierto","Neutral","Sí","No","Incierto","Neutral","No","Sí","","","No","Sí","","","No","No","Probable","Neutral","No","Sí","","",33.33,50,2,3.65,4.56,4.11,3.35,4.56,3.31,3.5,2.96,4.2,4.47,3.93,4.26,4.5,4.04
23249,"India","Asia",1,21,"Gen Z",2,3874,"Sí","No","Incierto","Neutral","No","No","Incierto","Triste","No","No","Probable","Triste","No","No","Incierto","Feliz","No","No","Improbable","Triste","No","No","Probable","Triste",16.67,0,1.5,2.99,2.58,4.59,4.51,3.17,3.15,2.38,3.43,4.08,3.83,4.46,1.39,2.15,2.48
23250,"India","Asia",2,41,"Millennial",2,2967,"Sí","Sí","","","No","Sí","","","Sí","No","Improbable","Triste","Sí","Sí","","","No","No","Probable","Feliz","No","Sí","","",50,0,2,3.43,2.83,3.25,3.43,4.04,4.2,2.26,5.57,3.55,4.46,2.39,3.23,3.73,3.47
23253,"India","Asia",2,43,"Millennial",1,4287,"No","Sí","","","No","No","Improbable","Triste","Sí","No","Improbable","Triste","No","No","Improbable","Feliz","No","No","Probable","Triste","No","No","Probable","Feliz",16.67,0,1.8,3.75,3.53,4.02,3.79,3.42,4.19,1.98,5.91,4.69,2.16,4.16,2.57,3.28,3.01
23269,"India","Asia",1,21,"Gen Z",2,3000,"Sí","No","Improbable","Triste","No","No","Probable","Triste","Sí","No","Probable","Triste","No","No","Improbable","Triste","No","No","Improbable","Feliz","No","No","Improbable","Feliz",33.33,50,1.67,3.68,2.81,3.19,4.79,2.73,3.28,1,3.56,4.01,5.16,3.71,1.05,2.08,2.59
23271,"Suecia","Europa",1,34,"Millennial",1,73819,"No","No","Cierto","Feliz","Sí","Sí","","","No","No","Probable","Feliz","No","No","Probable","Neutral","No","No","Incierto","Triste","No","No","Probable","Feliz",16.67,NA,2.4,3.87,4.34,4.2,3.12,4.55,4.36,3.55,4.2,2.82,3.83,3.15,3.56,3.91,4.85
23284,"Suecia","Europa",1,35,"Millennial",1,67858,"Sí","No","Improbable","Neutral","Sí","No","Probable","Feliz","Sí","Sí","","","No","No","Cierto","Triste","Sí","Sí","","","No","No","Incierto","Neutral",66.67,50,2,5.63,4.56,3.32,4.14,3.74,3.64,3.93,5.93,1.62,3.07,3.9,3.14,5.02,3.97
23289,"Suecia","Europa",2,51,"Gen X",2,39316,"Sí","Sí","","","Sí","Sí","","","No","No","Probable","Feliz","No","No","Improbable","Triste","No","Sí","","","No","No","Probable","Feliz",33.33,NA,2.33,4.49,4.31,3.43,3.76,4.31,4.78,3.84,3.33,3.02,4.13,2.91,4.42,5.24,4.92
23290,"India","Asia",1,63,"Baby Boomer",2,3799,"No","No","Improbable","Neutral","Sí","Sí","","","No","Sí","","","Sí","No","Probable","Feliz","No","No","Probable","Triste","No","Sí","","",33.33,100,2,3.14,3.63,5.09,3.53,4.1,4.27,2.81,3.46,3.24,4.59,3.87,3.44,4.48,3.53
23296,"India","Asia",1,37,"Millennial",1,2558,"No","No","Cierto","Feliz","Sí","No","Incierto","Neutral","No","No","Improbable","Neutral","Sí","No","Probable","Feliz","No","No","Improbable","Neutral","No","No","Cierto","Neutral",33.33,50,2.33,3.06,2.99,4.01,5.14,2.85,4.01,2.54,3.1,5.13,3.64,2.81,1.78,3.41,4.01
23309,"Suecia","Europa",1,68,"Baby Boomer",1,52103,"Sí","Sí","","","Sí","Sí","","","No","Sí","","","No","No","Cierto","Neutral","Sí","Sí","","","No","No","Cierto","Neutral",50,NA,2,5.01,6.05,2.94,3.33,5.35,3.68,4.64,3.94,2.83,3.77,3.76,4.6,4.15,3.96
23310,"India","Asia",1,66,"Baby Boomer",2,5021,"No","No","Probable","Neutral","No","No","Cierto","Triste","Sí","Sí","","","No","Sí","","","No","No","Probable","Feliz","No","Sí","","",16.67,NA,2,3.56,3.62,3.42,3.56,4.16,3.75,4.53,4.81,5.16,2.8,4.03,3.88,4.21,4.6
23313,"India","Asia",2,21,"Gen Z",2,450000,"Sí","No","Probable","Triste","Sí","No","Improbable","Neutral","No","No","Probable","Triste","No","No","Probable","Triste","No","No","Improbable","Feliz","No","No","Probable","Neutral",33.33,50,1.67,3.95,3.48,5.22,4.64,3.89,3.23,1,3.42,4.6,5.43,4.94,2.13,2.17,1.67
23314,"India","Asia",1,71,"Baby Boomer",2,6970,"No","Sí","","","No","Sí","","","Sí","Sí","","","Sí","No","Probable","Feliz","No","No","Improbable","Triste","No","Sí","","",33.33,100,2,3.31,3.71,2.98,3.33,4.31,4.52,3.61,4.97,4.02,3.02,3.84,3.59,4.24,4.72
23317,"India","Asia",2,55,"Gen X",1,3520,"Sí","Sí","","","No","No","Probable","Triste","No","Sí","","","Sí","No","Probable","Feliz","No","No","Probable","Feliz","No","No","Probable","Neutral",33.33,100,2.25,4.04,2.96,2.94,3.15,4.65,3.15,3.44,3.22,4.47,5.17,4.82,3.76,4.03,3.38
23323,"Suecia","Europa",1,65,"Baby Boomer",2,105370,"Sí","Sí","","","No","No","Cierto","Neutral","Sí","No","Probable","Triste","Sí","Sí","","","No","No","Probable","Neutral","No","Sí","","",50,100,1.67,4.59,4.99,3.93,3.35,4.6,4.51,5.44,3.68,4.13,2.99,3.21,4.43,5.64,4.96
23328,"Suecia","Europa",1,71,"Baby Boomer",2,68070,"Sí","Sí","","","Sí","No","Probable","Feliz","No","No","Probable","Neutral","No","No","Cierto","Neutral","No","No","Probable","Triste","No","No","Cierto","Neutral",33.33,100,2,5.29,5.13,4.15,4.5,4.45,4.16,3.04,6.4,2.77,3.58,1.8,4.06,5.39,4.71
23334,"India","Asia",1,45,"Millennial",2,6041,"Sí","Sí","","","Sí","Sí","","","No","No","Improbable","Triste","Sí","No","Incierto","Feliz","No","No","Incierto","Triste","No","No","Probable","Neutral",50,0,1.75,4.54,3.29,3.48,4.19,2.97,4.89,2.69,3.57,5.7,3.76,4.3,3.39,3.57,3.15
23356,"India","Asia",1,22,"Gen Z",1,3161,"Sí","Sí","","","Sí","No","Incierto","Triste","No","No","Incierto","Triste","No","Sí","","","No","No","Incierto","Neutral","Sí","No","Incierto","Neutral",50,0,1.5,2.43,2.71,4.28,4.46,3.18,3.38,2.31,3.24,4.66,4.78,4.38,3.14,3.54,2.77
23365,"Suecia","Europa",2,72,"Baby Boomer",1,60489,"Sí","Sí","","","Sí","Sí","","","No","Sí","","","Sí","Sí","","","No","Sí","","","No","Sí","","",50,NA,NA,4.51,4.35,3.48,4.12,5.04,3.24,4.37,5.08,1.78,4.89,3.89,4.3,3.71,4.38
23367,"Suecia","Europa",1,38,"Millennial",1,49494,"Sí","No","Cierto","Feliz","Sí","No","Cierto","Triste","Sí","No","Probable","Neutral","No","No","Cierto","Feliz","No","No","Incierto","Neutral","No","Sí","","",50,100,2.2,4.11,4.87,4.13,4.4,3.9,3.78,3.1,6.29,3.1,3.99,5.56,3.37,3.31,3.45
23374,"Suecia","Europa",1,62,"Baby Boomer",2,41468,"No","Sí","","","Sí","Sí","","","Sí","No","Cierto","Neutral","Sí","Sí","","","Sí","No","Cierto","Feliz","No","Sí","","",66.67,100,2.5,4.23,4.8,3.87,4.36,4.47,2.4,5.12,4.52,3.34,3.78,3.25,4.68,5,4.86
23386,"Suecia","Europa",1,57,"Gen X",2,36840,"Sí","No","Cierto","Feliz","No","No","Probable","Feliz","Sí","No","Probable","Neutral","No","No","Cierto","Feliz","No","No","Probable","Triste","No","Sí","","",33.33,100,NA,3.56,4,3.24,2.84,4.37,3.88,5.89,4.83,3.32,3.04,3.95,5.38,4.85,4.68
23388,"India","Asia",2,36,"Millennial",1,4436,"No","No","Probable","Feliz","No","No","Incierto","Triste","No","No","Incierto","Feliz","No","Sí","","","Sí","No","Incierto","Neutral","No","No","Improbable","Triste",16.67,0,2,3.71,3.01,4.51,4.46,3.99,3.25,3.91,2.94,4.95,5.02,5.03,3.91,4.51,2.71
23396,"India","Asia",1,43,"Millennial",2,4083,"Sí","No","Incierto","Triste","Sí","No","Incierto","Neutral","No","No","Improbable","Triste","No","No","Improbable","Neutral","No","No","Improbable","Feliz","No","No","Probable","Neutral",33.33,0,1.83,3.96,2.98,4.2,3.62,3.17,2.58,3.35,5.49,3.45,3.68,3.82,2.39,5.03,2.33
23400,"India","Asia",1,55,"Gen X",2,2792,"Sí","No","Probable","Neutral","Sí","No","Incierto","Feliz","No","Sí","","","Sí","No","Incierto","Triste","No","Sí","","","No","No","Probable","Neutral",50,33.33,2,3.07,2.84,4.28,4.87,3.74,4.81,1.87,4.28,5.55,3.75,4.12,3.92,3.03,3.92
23405,"India","Asia",1,59,"Gen X",2,1918,"No","Sí","","","No","No","Probable","Neutral","No","No","Cierto","Neutral","Sí","No","Incierto","Feliz","No","No","Cierto","Triste","No","Sí","","",16.67,0,2,3.46,3.16,3.7,4.45,4.05,4.01,3.57,2.4,5.4,3.01,4.73,2.26,3.31,3.01
23412,"Suecia","Europa",1,40,"Millennial",1,45541,"Sí","Sí","","","No","No","Incierto","Triste","No","Sí","","","Sí","No","Probable","Neutral","Sí","No","Probable","Neutral","Sí","Sí","","",66.67,100,NA,5.83,5.35,3.59,3.67,4.65,3.89,4.36,4.65,3.03,3.5,3.1,3.05,4.06,4.59
23414,"Suecia","Europa",1,19,"Gen Z",2,31695,"Sí","No","Probable","Triste","No","No","Incierto","Feliz","No","No","Incierto","Neutral","No","No","Probable","Triste","Sí","No","Incierto","Feliz","No","Sí","","",33.33,50,2,5.66,3.38,2.36,3.6,2.91,4.84,2.68,5.28,2,2.96,3.01,1.54,3.13,4.14
23425,"India","Asia",1,34,"Millennial",2,3690,"No","Sí","","","Sí","No","Probable","Triste","Sí","No","Probable","Neutral","No","Sí","","","No","No","Incierto","Neutral","No","No","Improbable","Neutral",33.33,100,1.75,3.75,3.86,4.07,3.85,2.96,4.64,2.57,3.99,4.14,3.91,3.73,1.71,3.4,3.33
23429,"Suecia","Europa",1,59,"Gen X",1,93112,"Sí","Sí","","","Sí","No","Probable","Triste","Sí","Sí","","","Sí","No","Probable","Neutral","Sí","No","Cierto","Feliz","No","Sí","","",83.33,100,2,3.87,5.43,4.8,3.02,4.16,5.15,3.84,4.07,4.03,3.81,4.14,5.93,4.07,4.17
23438,"India","Asia",1,21,"Gen Z",1,3878,"No","No","Improbable","Feliz","No","Sí","","","No","Sí","","","Sí","No","Probable","Feliz","No","No","Incierto","Feliz","No","No","Improbable","Neutral",16.67,100,2.75,3.39,3.07,4.02,5,3.01,3.96,1,4.01,4.44,4.52,4.31,1.92,1.35,3.14
23439,"India","Asia",1,31,"Millennial",1,4550,"No","No","Probable","Neutral","Sí","No","Improbable","Triste","No","Sí","","","Sí","No","Probable","Feliz","Sí","No","Incierto","Triste","No","Sí","","",50,33.33,1.75,4.7,3.41,4.66,4.17,3.18,4.57,1.3,3.76,4.49,5.89,2.31,2.59,2.35,2.83
23441,"India","Asia",2,23,"Gen Z",1,2950,"No","No","Improbable","Feliz","No","No","Improbable","Neutral","Sí","Sí","","","No","No","Improbable","Neutral","No","No","Incierto","Feliz","No","No","Probable","Neutral",16.67,NA,NA,2.89,2.51,4.06,5.46,2.81,3.96,1.67,3.72,4.51,4.65,4.93,1.52,1.82,4.08
23444,"Suecia","Europa",1,32,"Millennial",2,41522,"Sí","Sí","","","No","No","Cierto","Triste","Sí","No","Probable","Neutral","Sí","No","Incierto","Neutral","No","No","Probable","Triste","No","Sí","","",50,50,1.5,4.61,3.9,3.79,4.37,3.88,4.01,3.82,5.4,3.18,4.1,3.93,2.87,4.4,4.43
23448,"Suecia","Europa",1,38,"Millennial",1,54750,"Sí","No","Probable","Neutral","Sí","Sí","","","Sí","No","Incierto","Triste","No","No","Incierto","Neutral","Sí","No","Probable","Neutral","Sí","No","Probable","Feliz",83.33,75,2,5.28,4.24,3.93,3.36,3.76,3.88,3.06,6.2,3.3,4.2,3.82,4.19,3.87,4.73
23456,"Suecia","Europa",1,34,"Millennial",2,28288,"Sí","No","Incierto","Neutral","Sí","No","Improbable","Neutral","No","Sí","","","No","No","Probable","Neutral","Sí","No","Probable","Neutral","No","Sí","","",50,33.33,2,4.72,5.54,3.55,3.38,4.91,5.03,5.61,5.54,2.84,4.25,3.63,4.21,4.46,4.49
23458,"Suecia","Europa",1,27,"Gen Z",1,53374,"No","No","Incierto","Triste","Sí","No","Incierto","Neutral","No","No","Incierto","Triste","No","No","Improbable","Feliz","No","Sí","","","No","No","Improbable","Neutral",16.67,0,1.8,4.68,3.17,4.59,4.5,3.34,3.5,2.75,4.94,2.87,3.75,3.38,1.91,3.48,3.71
23460,"Suecia","Europa",2,54,"Gen X",1,29251,"No","No","Improbable","Feliz","No","Sí","","","Sí","Sí","","","Sí","No","Cierto","Feliz","Sí","No","Probable","Neutral","No","No","Probable","Neutral",50,100,2.5,3.49,3.48,3.68,3.5,3.79,4.02,2.79,4.22,4.97,3.8,4.8,3.23,3.48,1.67
23467,"Suecia","Europa",1,24,"Gen Z",2,40171,"Sí","No","Incierto","Triste","Sí","No","Cierto","Neutral","Sí","No","Probable","Feliz","Sí","No","Probable","Triste","No","No","Cierto","Feliz","No","Sí","","",66.67,75,2,2.9,3.64,3.74,3.74,3.47,3.46,3.51,4.01,4.82,3.51,5.94,3.11,4.27,4.1
23474,"India","Asia",2,32,"Millennial",1,3436,"Sí","No","Improbable","Feliz","Sí","No","Cierto","Triste","Sí","Sí","","","No","No","Incierto","Feliz","No","Sí","","","No","Sí","","",50,50,NA,2.54,3.99,4.16,3.96,4.27,3.53,4.46,3.84,5.72,3.84,2.89,3.97,2.94,5.24
23475,"India","Asia",2,63,"Baby Boomer",1,3464,"Sí","Sí","","","No","No","Incierto","Neutral","No","No","Incierto","Neutral","No","Sí","","","Sí","Sí","","","No","No","Probable","Neutral",33.33,NA,2,2.93,3.54,3.76,4.48,2.97,4.04,2.21,2.28,5.61,3.02,2.57,3.3,3.29,3.75
23481,"India","Asia",1,66,"Baby Boomer",2,2867,"No","No","Cierto","Neutral","No","No","Probable","Triste","No","No","Probable","Neutral","No","No","Cierto","Triste","No","No","Probable","Triste","No","No","Incierto","Feliz",0,NA,1.67,4.57,3.26,3.23,2.71,3.96,5.04,3.85,5.31,4.35,3.18,4.1,3.08,3.76,3.59
23482,"India","Asia",1,25,"Gen Z",1,4992,"Sí","No","Probable","Neutral","Sí","No","Probable","Feliz","No","No","Incierto","Neutral","Sí","No","Incierto","Triste","No","No","Improbable","Feliz","No","Sí","","",50,66.67,NA,4.52,1.94,4.2,4.22,3.23,3.37,1,3.65,4.01,3.39,4.72,1.87,2.47,3.82
23485,"India","Asia",1,43,"Millennial",1,3410,"No","No","Cierto","Feliz","No","No","Improbable","Feliz","No","No","Probable","Triste","No","No","Incierto","Triste","No","No","Improbable","Triste","No","No","Incierto","Feliz",0,NA,2,3.01,3.57,4.52,4.35,2.39,4.04,4.19,2.67,4.9,5.23,4.1,2.69,4.49,2.74
23491,"Suecia","Europa",1,52,"Gen X",1,63281,"No","No","Incierto","Neutral","Sí","No","Incierto","Feliz","No","No","Cierto","Neutral","Sí","Sí","","","No","No","Probable","Neutral","No","No","Probable","Neutral",33.33,0,2.2,6.07,5.14,3.9,3.11,4.62,3.57,3.85,4.67,3.91,3.27,4.77,5.1,6.21,4.23
23492,"Suecia","Europa",1,38,"Millennial",1,63295,"Sí","Sí","","","No","Sí","","","No","No","Probable","Neutral","Sí","No","Probable","Neutral","No","No","Incierto","Neutral","No","No","Probable","Neutral",33.33,100,2,4.22,4.54,4.9,3.8,3.78,3.94,4.21,4.43,3.17,3.98,3.04,4.48,3.42,4.47
23505,"Suecia","Europa",1,54,"Gen X",1,33233,"Sí","Sí","","","Sí","No","Incierto","Neutral","Sí","Sí","","","Sí","No","Incierto","Feliz","Sí","Sí","","","No","No","Cierto","Neutral",83.33,0,2.33,4.28,5.26,3.31,3.53,4.63,3.6,5.09,4.92,3.32,3.59,3.06,3.9,3.38,4.2
23507,"Suecia","Europa",1,52,"Gen X",2,58785,"Sí","No","Probable","Neutral","No","No","Cierto","Feliz","Sí","Sí","","","No","No","Incierto","Neutral","No","No","Probable","Neutral","Sí","Sí","","",50,100,2.25,3.85,3.82,3.29,3.22,5.14,5.02,4.6,4.4,3.71,1.88,2.84,5.09,5.45,4.94
23512,"Suecia","Europa",1,40,"Millennial",2,69814,"Sí","Sí","","","No","No","Probable","Triste","No","No","Incierto","Triste","Sí","No","Probable","Neutral","No","No","Probable","Triste","No","Sí","","",33.33,100,1.25,4.62,4.13,3.57,4.79,3.33,4.11,5.36,4.36,4.88,4.03,3.79,3.11,4.59,4.59
23518,"Suecia","Europa",1,61,"Baby Boomer",2,73492,"Sí","Sí","","","Sí","Sí","","","No","Sí","","","No","Sí","","","Sí","Sí","","","Sí","No","Incierto","Neutral",66.67,0,2,5.03,5.05,3.36,3.37,4.53,5.91,5.12,5.81,2.8,3.88,3.24,4.95,6.25,4.88
23534,"India","Asia",1,49,"Gen X",1,2494,"No","Sí","","","No","No","Improbable","Feliz","No","Sí","","","No","No","Incierto","Feliz","No","No","Incierto","Feliz","No","No","Probable","Neutral",0,NA,2.75,2.06,2.96,5.25,4.77,3.56,2.96,2.04,2.71,5.49,5.39,4.49,3.73,2.74,3.06
23537,"Suecia","Europa",1,46,"Millennial",2,54017,"No","No","Incierto","Neutral","Sí","Sí","","","No","No","Improbable","Triste","Sí","No","Incierto","Triste","No","No","Incierto","Feliz","No","Sí","","",33.33,0,1.75,5.41,3.52,3.45,2.05,5.66,5.21,5.55,4.49,4.3,3.37,3.08,5.29,5,4.26
23549,"India","Asia",2,19,"Gen Z",2,1563,"No","No","Incierto","Triste","Sí","No","Incierto","Feliz","No","No","Incierto","Feliz","No","No","Incierto","Triste","Sí","No","Incierto","Feliz","No","No","Incierto","Neutral",33.33,0,2.17,3.7,1.43,3.67,6.08,2.54,3.63,1,3.57,6.69,4.28,4.79,2.58,2.96,2.91
23554,"India","Asia",2,51,"Gen X",1,7358,"No","No","Probable","Triste","Sí","No","Probable","Triste","No","Sí","","","No","No","Probable","Triste","No","No","Probable","Feliz","No","No","Incierto","Neutral",16.67,100,1.6,2.86,3.2,4.58,4.75,3.62,3.71,3.46,3.55,4.63,5.27,3.8,4.42,3.92,4.7
23555,"India","Asia",1,55,"Gen X",1,9028,"No","No","Incierto","Feliz","Sí","Sí","","","Sí","No","Cierto","Feliz","No","No","Probable","Triste","No","Sí","","","No","Sí","","",33.33,100,2.33,4.4,3.69,3.46,2.95,4.65,4.36,1.94,4.7,4.52,4.56,3.69,3.55,4.21,4.68
23556,"Suecia","Europa",1,52,"Gen X",1,33406,"Sí","Sí","","","Sí","No","Probable","Triste","No","Sí","","","No","Sí","","","No","No","Cierto","Triste","Sí","No","Cierto","Neutral",50,100,1.33,4.63,5.13,4.76,4.53,4.58,4.64,4.22,5.25,4.17,3.63,5.01,4.11,5.04,4.67
23557,"Suecia","Europa",1,54,"Gen X",2,56987,"Sí","Sí","","","Sí","No","Incierto","Triste","No","No","Probable","Neutral","Sí","Sí","","","No","Sí","","","Sí","No","Incierto","Feliz",66.67,0,2,3.94,4,3.3,3,5.32,5.47,4.46,5.37,3.79,3.09,2.93,2.88,3.43,6.15
23560,"India","Asia",1,71,"Baby Boomer",1,4859,"Sí","Sí","","","No","Sí","","","No","Sí","","","No","No","Probable","Feliz","No","No","Probable","Feliz","No","Sí","","",16.67,NA,3,3.97,3.14,4.44,4.36,3.58,3.37,3.9,2.97,4.34,4.01,5.12,2.48,2.65,3.5
23565,"India","Asia",2,55,"Gen X",1,4365,"Sí","No","Incierto","Triste","Sí","No","Cierto","Triste","No","No","Incierto","Feliz","Sí","Sí","","","No","Sí","","","No","No","Probable","Feliz",50,50,2,3.22,3.43,2.86,4.31,3.36,4.31,3.38,2.68,4.79,3.37,3.52,3.81,4.57,4.38
23574,"India","Asia",1,56,"Gen X",2,5586,"No","No","Incierto","Neutral","Sí","No","Cierto","Triste","Sí","Sí","","","No","No","Probable","Neutral","No","Sí","","","No","No","Improbable","Feliz",33.33,100,2,3.45,2.69,3.96,4.94,4.11,3.38,4.18,2.02,4.64,5.69,4.49,3.5,4.26,3.36
23581,"Suecia","Europa",1,70,"Baby Boomer",2,39837,"No","Sí","","","Sí","Sí","","","No","Sí","","","No","Sí","","","No","No","Probable","Feliz","No","No","Probable","Triste",16.67,NA,2,4.46,3.47,2.74,3.62,4.03,4.84,4.35,6.14,4.19,3.01,2.8,4.67,5.63,5.23
23590,"India","Asia",1,56,"Gen X",1,3718,"No","No","Probable","Triste","No","No","Incierto","Triste","No","No","Incierto","Neutral","No","No","Probable","Feliz","No","Sí","","","No","Sí","","",0,NA,1.75,3.16,2.31,5.56,4.87,3.79,3.11,2.73,3.88,3.83,5.14,4.43,3.68,2,3.66
23597,"Suecia","Europa",1,44,"Millennial",2,71130,"No","Sí","","","Sí","Sí","","","No","No","Cierto","Feliz","No","Sí","","","Sí","No","Incierto","Feliz","Sí","Sí","","",50,0,3,3.96,4.91,2.82,3.34,4.25,4.7,3.33,3.91,4.42,2.69,2.44,3.81,3.6,5.77
23600,"Suecia","Europa",2,26,"Gen Z",2,54611,"No","No","Improbable","Neutral","Sí","No","Improbable","Feliz","No","Sí","","","No","No","Incierto","Neutral","Sí","No","Incierto","Neutral","No","Sí","","",33.33,0,2.25,4.77,3.98,4.21,3.13,2.51,3.91,2,4.49,4.29,3.66,4.76,1.69,2.57,2.77
23601,"India","Asia",1,74,"Baby Boomer",1,8022,"Sí","No","Incierto","Feliz","Sí","No","Probable","Feliz","No","No","Probable","Feliz","No","No","Cierto","Neutral","Sí","No","Probable","Feliz","No","No","Incierto","Feliz",50,66.67,2.83,3.16,3.88,5.05,5.11,4.02,3.76,3.34,3.42,5.35,4.64,3.85,4.04,3.78,2.1
23614,"India","Asia",2,40,"Millennial",1,6171,"Sí","No","Probable","Feliz","Sí","No","Cierto","Triste","No","Sí","","","No","No","Probable","Feliz","No","Sí","","","No","No","Cierto","Neutral",33.33,100,2.25,4.04,3.88,4.25,4.71,3.17,5.07,2.92,5.3,4.65,4.97,4.22,3.26,4.5,3.37
23616,"India","Asia",2,51,"Gen X",1,4253,"Sí","Sí","","","Sí","No","Improbable","Feliz","No","Sí","","","No","Sí","","","No","Sí","","","No","Sí","","",33.33,0,3,3.74,3.66,5.83,4.79,4.02,3.81,3.29,5.35,5.08,5.3,4.52,4.67,2.59,3.03
23619,"Suecia","Europa",1,58,"Gen X",1,42495,"No","Sí","","","Sí","No","Probable","Triste","No","Sí","","","Sí","No","Cierto","Feliz","No","Sí","","","No","No","Incierto","Feliz",33.33,100,2.33,4.5,4.93,3.33,3.61,4.33,4.22,5.5,5.81,4.36,5.61,3.48,3.58,4.8,3.68
